1	0.683633	0.416334	0.862871	0.19231	0.844349	0.421615	0.406872	0.695196	0.66627	0.273504
2	0.864427	0.989027	0.263803	0.703497	0.86867	0.689949	0.67566	0.896558	0.687829	0.868794
3	0.085423	0.282505	0.920997	0.762074	0.439678	0.50888	0.302548	0.627329	0.14999	0.912126
4	0.372592	0.833622	0.32846	0.235462	0.025932	0.172808	0.657077	0.432803	0.868004	0.323346
5	0.706307	0.732431	0.312373	0.970109	0.435927	0.181042	0.660057	0.111586	0.0776	0.347886
6	0.980379	0.163022	0.630391	0.901376	0.925096	0.070069	0.410256	0.227643	0.697397	0.560245
7	0.139769	0.069988	0.393867	0.468228	0.30545	0.419798	0.641036	0.962526	0.852601	0.509039
8	0.285872	0.558907	0.241469	0.598245	0.529015	0.677396	0.779286	0.189072	0.788981	0.856886
9	0.536957	0.76936	0.019908	0.167348	0.670735	0.945003	0.237416	0.080991	0.172646	0.934812
10	0.641235	0.312415	0.0048	0.035101	0.780642	0.31025	0.454899	0.421678	0.272776	0.307499
11	0.930716	0.558647	0.866406	0.172185	0.156891	0.39542	0.849581	0.936177	0.584491	0.638561
12	0.793063	0.121448	0.407921	0.81297	0.288796	0.078655	0.757973	0.526211	0.159646	0.930618
13	0.461023	0.80088	0.243032	0.465823	0.835981	0.023674	0.776072	0.29088	0.445351	0.048847
14	0.598378	0.376067	0.607494	0.464783	0.548252	0.764385	0.860203	0.397832	0.700562	0.444694
15	0.036393	0.493624	0.566142	0.444313	0.306594	0.854937	0.522968	0.064566	0.381148	0.682613
16	0.995183	0.84217	0.483493	0.238215	0.307992	0.319473	0.261888	0.084063	0.610352	0.707239
17	0.13291	0.20873	0.083305	0.740403	0.673513	0.631556	0.504788	0.533716	0.029388	0.205349
18	0.978409	0.06578	0.698973	0.544551	0.510093	0.005566	0.399487	0.03306	0.070131	0.780634
19	0.715673	0.065314	0.622804	0.199165	0.303528	0.930795	0.518638	0.565416	0.014858	0.12899
20	0.272654	0.147768	0.337719	0.355959	0.888171	0.011232	0.987515	0.392958	0.544947	0.016902
