A	0	0	1
A	0	1	11
A	0	2	16
A	0	3	19
A	0	4	14
A	0	5	31
A	0	6	21
A	0	7	30
A	0	8	28
A	0	9	26
A	0	10	27
A	0	11	19
A	0	12	28
A	0	13	25
A	0	14	8
A	0	15	10
A	0	16	13
A	0	17	27
A	0	18	15
A	0	19	2
A	0	20	29
A	0	21	17
A	0	22	3
A	0	23	23
A	0	24	25
A	0	25	16
A	0	26	11
A	0	27	24
A	0	28	22
A	0	29	19
A	0	30	22
A	0	31	7
A	0	32	18
A	0	33	18
A	0	34	12
A	0	35	15
A	0	36	24
A	0	37	9
A	0	38	19
A	0	39	7
A	0	40	6
A	0	41	17
A	0	42	9
A	0	43	3
A	0	44	27
A	0	45	18
A	0	46	17
A	0	47	16
A	0	48	23
A	0	49	26
A	0	50	31
A	0	51	17
A	0	52	1
A	0	53	21
A	0	54	7
A	0	55	18
A	0	56	30
A	0	57	7
A	0	58	7
A	0	59	25
A	0	60	28
A	0	61	17
A	0	62	25
A	0	63	5
A	0	64	29
A	0	65	30
A	0	66	20
A	0	67	0
A	0	68	27
A	0	69	13
A	0	70	30
A	0	71	17
A	0	72	24
A	0	73	21
A	0	74	28
A	0	75	12
A	0	76	21
A	0	77	22
A	0	78	16
A	0	79	2
A	0	80	0
A	0	81	7
A	0	82	25
A	0	83	11
A	0	84	19
A	0	85	3
A	0	86	23
A	0	87	19
A	0	88	0
A	0	89	1
A	0	90	3
A	0	91	12
A	0	92	24
A	0	93	16
A	0	94	27
A	0	95	27
A	0	96	9
A	0	97	5
A	0	98	8
A	0	99	17
A	1	0	3
A	1	1	17
A	1	2	10
A	1	3	0
A	1	4	21
A	1	5	9
A	1	6	7
A	1	7	15
A	1	8	28
A	1	9	5
A	1	10	31
A	1	11	19
A	1	12	14
A	1	13	8
A	1	14	18
A	1	15	18
A	1	16	25
A	1	17	22
A	1	18	26
A	1	19	5
A	1	20	8
A	1	21	28
A	1	22	1
A	1	23	22
A	1	24	26
A	1	25	29
A	1	26	20
A	1	27	22
A	1	28	14
A	1	29	8
A	1	30	2
A	1	31	13
A	1	32	1
A	1	33	28
A	1	34	30
A	1	35	27
A	1	36	20
A	1	37	12
A	1	38	26
A	1	39	5
A	1	40	12
A	1	41	1
A	1	42	17
A	1	43	1
A	1	44	1
A	1	45	13
A	1	46	12
A	1	47	0
A	1	48	24
A	1	49	0
A	1	50	11
A	1	51	25
A	1	52	25
A	1	53	10
A	1	54	21
A	1	55	10
A	1	56	24
A	1	57	31
A	1	58	6
A	1	59	5
A	1	60	5
A	1	61	23
A	1	62	7
A	1	63	11
A	1	64	26
A	1	65	8
A	1	66	19
A	1	67	6
A	1	68	19
A	1	69	1
A	1	70	31
A	1	71	7
A	1	72	31
